date,hour_jst,cost,clicks
2026-08-25,06,7215,103
2026-08-25,07,14347,154
2026-08-25,08,14465,168
2026-08-25,09,14681,168
2026-08-25,10,14519,182
2026-08-25,11,13411,159
2026-08-25,12,13033,142
2026-08-25,13,12774,159
2026-08-25,14,11202,138
2026-08-25,15,11451,124
2026-08-25,16,12088,172
2026-08-25,17,12325,141
2026-08-25,18,14524,134
2026-08-25,19,14330,172
2026-08-25,20,17491,189
2026-08-25,21,17910,218
2026-08-25,22,13714,194
2026-08-25,23,8690,118
2026-08-26,00,5610,49
2026-08-26,01,2920,31
2026-08-26,02,2008,16
2026-08-26,03,1574,15
2026-08-26,04,2104,23
2026-08-26,05,4158,36
2026-08-26,06,9311,102
2026-08-26,07,11588,120
2026-08-26,08,13889,182
2026-08-26,09,11749,147
2026-08-26,10,12241,138
2026-08-26,11,12336,134
2026-08-26,12,17436,198
2026-08-26,13,12085,127
2026-08-26,14,8163,106
2026-08-26,15,7296,83
2026-08-26,16,9069,86
2026-08-26,17,9855,101
2026-08-26,18,10420,93
2026-08-26,19,11744,119
2026-08-26,20,13303,146
2026-08-26,21,16478,183
2026-08-26,22,14053,164
2026-08-26,23,12154,120
2026-08-27,00,5720,52
2026-08-27,01,4648,45
2026-08-27,02,3164,32
2026-08-27,03,2321,25
2026-08-27,04,3092,30
2026-08-27,05,6636,54
2026-08-27,06,13806,158
2026-08-27,07,20549,204
2026-08-27,08,18936,206
2026-08-27,09,15795,167
2026-08-27,10,15229,135
2026-08-27,11,13956,142
2026-08-27,12,16881,187
2026-08-27,13,12244,134
2026-08-27,14,11838,125
2026-08-27,15,12422,128
2026-08-27,16,11247,117
2026-08-27,17,11675,110
2026-08-27,18,13147,138
2026-08-27,19,14148,172
2026-08-27,20,16317,169
2026-08-27,21,15023,144
2026-08-27,22,12153,125
2026-08-27,23,12551,148
2026-08-28,00,7663,66
2026-08-28,01,3009,33
2026-08-28,02,2460,19
2026-08-28,03,1890,19
2026-08-28,04,2571,25
2026-08-28,05,6707,68
2026-08-28,06,12643,144
2026-08-28,07,18236,199
2026-08-28,08,19442,239
2026-08-28,09,15328,197
2026-08-28,10,9891,149
2026-08-28,11,13030,129
2026-08-28,12,15518,184
2026-08-28,13,10348,133
2026-08-28,14,7764,69
2026-08-28,15,8093,104
2026-08-28,16,8379,94
2026-08-28,17,8449,91
2026-08-28,18,12140,135
2026-08-28,19,12379,156
2026-08-28,20,14023,193
2026-08-28,21,14716,189
2026-08-28,22,12024,116
2026-08-28,23,8633,72
2026-08-29,00,4784,45
2026-08-29,01,3557,34
2026-08-29,02,2933,33
2026-08-29,03,2188,11
2026-08-29,04,3019,35
2026-08-29,05,6446,86
2026-08-29,06,12457,200
2026-08-29,07,17567,245
2026-08-29,08,19517,254
2026-08-29,09,20629,323
2026-08-29,10,17247,244
2026-08-29,11,14888,235
2026-08-29,12,12310,163
2026-08-29,13,9671,142
2026-08-29,14,8133,136
2026-08-29,15,7383,99
2026-08-29,16,8928,117
2026-08-29,17,9589,147
